p_val,avg_log2FC,pct.1,pct.2,p_val_adj,GeneName
3.58E-18,0.361337458,0.632,0.538,1.05E-13,TBX20
1.92E-25,0.362026048,0.303,0.16,5.61E-21,RPL9
1.04E-46,0.362472094,0.454,0.226,3.04E-42,AASS
2.91E-09,0.362553906,0.787,0.77,8.50E-05,MDH1
2.02E-43,0.362612931,0.339,0.145,5.90E-39,TOMM7
4.54E-22,0.362751445,0.651,0.566,1.33E-17,FBXO32
1.29E-21,0.363085473,0.447,0.304,3.78E-17,AL390957.1
6.49E-17,0.363809429,0.738,0.665,1.90E-12,LDHB
9.35E-41,0.364036692,0.254,0.094,2.73E-36,RPS26
8.15E-29,0.364091932,0.238,0.103,2.38E-24,RPL28
8.28E-16,0.364546588,0.26,0.155,2.42E-11,RPL11
5.25E-24,0.364881468,0.754,0.737,1.53E-19,RETREG1
2.79E-21,0.366237918,0.607,0.478,8.15E-17,ATP5MG
2.30E-38,0.367256528,0.436,0.237,6.73E-34,ISCU
1.66E-28,0.368144076,0.361,0.202,4.84E-24,ATP5PD
2.70E-28,0.36957253,0.466,0.298,7.89E-24,NDUFAB1
2.51E-19,0.371999856,0.501,0.372,7.33E-15,ATP5IF1
1.38E-28,0.372163704,0.29,0.142,4.04E-24,RPS18
1.30E-34,0.373126622,0.631,0.458,3.80E-30,EIF1B
3.62E-18,0.374580909,0.33,0.21,1.06E-13,RPL21
2.34E-26,0.375080785,0.614,0.463,6.84E-22,HHATL
3.41E-20,0.377678305,0.304,0.178,9.98E-16,RPL19
8.07E-25,0.379564825,0.818,0.9,2.36E-20,MYOM2
5.50E-21,0.380086787,0.538,0.385,1.61E-16,MYL9
9.14E-47,0.380682655,0.287,0.104,2.67E-42,POLR2L
3.53E-28,0.382724326,0.339,0.179,1.03E-23,RPS13
3.07E-38,0.384753443,0.274,0.111,8.97E-34,RPL35
8.08E-66,0.38809821,0.317,0.097,2.36E-61,MT1E
0.395725999,0.388151578,0.692,0.751,1,PTGDS
6.15E-21,0.388413444,0.657,0.558,1.80E-16,UQCRH
1.61E-57,0.39170849,0.437,0.19,4.72E-53,AC023494.1
2.86E-61,0.39214795,0.315,0.104,8.36E-57,MT-ND4L
2.22E-34,0.392877767,0.454,0.262,6.50E-30,CYCS
