p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.4450596360085858e-157,0.4485381182345145,0.538,0.312,4.2247763518347017e-153,Normal,RPL23A
8.036070523947858e-157,0.296838009734102,0.324,0.136,2.349425578381396e-152,Normal,MT-ND4L
9.162847141722635e-156,0.3699428293047455,0.256,0.089,2.6788499903540296e-151,Normal,TTTY10
9.423312186994089e-156,0.652684579490712,0.204,0.065,2.7549995509895918e-151,Normal,MGST1
2.636915435778117e-155,0.3746228088977788,0.388,0.188,7.709285968040904e-151,Normal,RPS26
7.897749404108448e-155,0.4863153859258764,0.931,0.811,2.3089860157851456e-150,Normal,MT-CO3
1.3626327762484403e-154,0.4154886771610305,0.169,0.044,3.98379318463994e-150,Normal,MAMDC2-AS1
3.801149667954908e-153,0.46879899243999823,0.552,0.327,1.1113041169232969e-148,Normal,RPL30
1.4724291234245476e-152,0.2758101183864972,0.21,0.065,4.3047937852440075e-148,Normal,GGT5
8.23644024190498e-152,0.4409086553818695,0.645,0.389,2.40800566912334e-147,Normal,CST3
1.988840993921194e-151,0.5040581119938924,0.201,0.064,5.814575529828002e-147,Normal,APCDD1
1.6491244954213284e-150,0.31072897159147206,0.142,0.031,4.821380374813796e-146,Normal,RUNDC3B
4.419920813123985e-150,0.4232261827830952,0.545,0.319,1.2922080489249283e-145,Normal,RPL23
6.407606474508084e-150,0.34758589774882237,0.136,0.029,1.8733278288871835e-145,Normal,ACSM1
2.4966958541814405e-149,0.2840289153195269,0.228,0.076,7.299339999284859e-145,Normal,MT1X
1.1846295049708503e-147,0.5088362882125688,0.332,0.151,3.463382820732778e-143,Normal,FMO2
2.4211987597869665e-147,0.8403052369066888,0.657,0.514,7.078616694113176e-143,Normal,SPARCL1
7.450944188041262e-146,0.4869661463762873,0.926,0.806,2.178358042815743e-141,Normal,MT-ATP6
1.5351765050058446e-143,0.3446490448500563,0.252,0.096,4.488242030035087e-139,Normal,S100A13
7.635219037449017e-143,0.5414894962314798,0.197,0.064,2.2322326377885946e-138,Normal,VIT
3.0115744704106724e-141,0.5055666057176369,0.166,0.046,8.804639121692642e-137,Normal,MUSK
3.967661536674086e-141,0.3117349739795903,0.274,0.108,1.1599855268620358e-136,Normal,MT1E
3.2012016952992173e-140,0.396896939311984,0.449,0.245,9.359033276376791e-136,Normal,KLF9
6.922497833024922e-140,0.38816428884602827,0.576,0.351,2.023861466463166e-135,Normal,MTRNR2L12
1.178656930987948e-138,0.3812952847055522,0.489,0.278,3.4459214034363646e-134,Normal,RPL31
1.4661406169894328e-134,0.26543882841922295,0.117,0.023,4.286408707830306e-130,Normal,AC005165.1
1.6717731822954797e-134,0.39046337846826346,0.297,0.131,4.887596075759065e-130,Normal,GLUL
2.4855881041240995e-134,0.35469962072019484,0.421,0.221,7.266865381217218e-130,Normal,SRP14
2.7723016237121706e-134,0.28242040463177565,0.259,0.104,8.105101027084901e-130,Normal,POLR2L
3.0451676510085567e-133,0.33115604591765063,0.339,0.163,8.902852144488616e-129,Normal,ATP5MD
