"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"EFCAB10.1",1.33690265655509e-53,-21.3887979815656,0.287,0.013,4.01070796966527e-50,"Chemo-Macrophage","EFCAB10"
"GALNTL6.1",1.51816549959371e-53,-31.9935477001553,0.305,0.011,4.55449649878113e-50,"Chemo-Macrophage","GALNTL6"
"SEMA6D.1",1.69746384568509e-53,-25.5433148123375,0.309,0.016,5.09239153705527e-50,"Chemo-Macrophage","SEMA6D"
"C15orf41.1",1.87447515249421e-53,-3.84496639051658,0.232,0.114,5.62342545748264e-50,"Chemo-Macrophage","C15orf41"
"GAD1",2.28951031578384e-53,-27.3839981647586,0.356,0.01,6.86853094735151e-50,"Chemo-Macrophage","GAD1"
"PLCXD3.1",2.63629640179939e-53,-14.5108093406127,0.161,0.03,7.90888920539817e-50,"Chemo-Macrophage","PLCXD3"
"FGF13.1",2.78377183975643e-53,-21.7782837435312,0.312,0.224,8.35131551926928e-50,"Chemo-Macrophage","FGF13"
"TRAF3IP2-AS1.1",2.96067448287802e-53,-4.85013683920376,0.275,0.219,8.88202344863406e-50,"Chemo-Macrophage","TRAF3IP2-AS1"
"FAT4.1",3.06745138911074e-53,-26.6051744950915,0.282,0.012,9.20235416733223e-50,"Chemo-Macrophage","FAT4"
"HS3ST2.1",4.10744933678222e-53,-20.0033353859142,0.257,0.038,1.23223480103467e-49,"Chemo-Macrophage","HS3ST2"
"LINC01006",5.61456769026682e-53,-12.2593255205432,0.289,0.031,1.68437030708005e-49,"Chemo-Macrophage","LINC01006"
"FAM107B",9.53692410916175e-53,-26.2359239662578,0.24,0.204,2.86107723274853e-49,"Chemo-Macrophage","FAM107B"
"HPCAL1.1",1.15397176867187e-52,-14.1396211885865,0.263,0.272,3.46191530601561e-49,"Chemo-Macrophage","HPCAL1"
"NETO2.1",1.1648693525664e-52,-12.1309200114837,0.207,0.059,3.4946080576992e-49,"Chemo-Macrophage","NETO2"
"FAM171B",1.25997755272396e-52,-27.5872629442685,0.178,0.007,3.77993265817187e-49,"Chemo-Macrophage","FAM171B"
"RPL30.1",1.36607720442305e-52,-2.04928078248953,0.34,0.134,4.09823161326916e-49,"Chemo-Macrophage","RPL30"
"LINC00271.1",1.68712050245274e-52,-17.6974512410948,0.267,0.021,5.06136150735823e-49,"Chemo-Macrophage","LINC00271"
